timestamp,frame_index,obs_shoulder_pan,obs_shoulder_lift,obs_elbow_flex,obs_wrist_flex,obs_wrist_roll,obs_gripper,act_shoulder_pan,act_shoulder_lift,act_elbow_flex,act_wrist_flex,act_wrist_roll,act_gripper
0.0000,0,8.00,-99.00,98.92,-96.75,1.22,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.0333,1,6.49,-99.04,98.94,-96.97,1.08,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.0667,2,5.10,-99.07,98.96,-97.17,0.95,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.1000,3,3.85,-99.09,98.97,-97.34,0.83,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.1333,4,2.74,-99.12,98.98,-97.49,0.73,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.1667,5,1.76,-99.14,99.00,-97.62,0.64,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.2000,6,0.91,-99.15,99.00,-97.72,0.57,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.2333,7,0.19,-99.16,99.01,-97.80,0.51,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.2667,8,-0.35,-99.17,99.01,-97.84,0.48,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.3000,9,-0.76,-99.17,99.02,-97.86,0.45,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.3333,10,-1.04,-99.17,99.02,-97.86,0.44,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.3667,11,-1.22,-99.17,99.01,-97.86,0.44,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.4000,12,-1.31,-99.17,99.01,-97.84,0.45,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.4333,13,-1.33,-99.17,99.01,-97.83,0.45,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.4667,14,-1.32,-99.17,99.01,-97.82,0.46,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.5000,15,-1.27,-99.17,99.01,-97.81,0.46,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.5333,16,-1.24,-99.17,99.01,-97.82,0.47,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.5667,17,-1.22,-99.17,99.01,-97.82,0.47,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.6000,18,-1.21,-99.17,99.01,-97.82,0.47,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.6333,19,-1.21,-99.17,99.01,-97.82,0.47,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
0.6667,20,-1.20,-99.17,99.01,-97.82,0.47,13.16,-1.70,-99.83,99.64,-99.83,0.36,23.16
